id_str	concept	No	Yes	total	percent_no	percent_yes	text
968364349021675521	war	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857	 Illegals are the problem Russians are a diversion
1133046977992765446	war	4.0	4.0	8.0	0.5	0.5	"Yt folk gonna be all over this. What about caged immigrant kids dying in concentration camps? ""Concerns grow as third horse in nine days dies at prominent California racetrack""  "
1011297691454844930	commodity	8.0	0.0	8.0	1.0	0.0	  I have always wondered about your intelligence. Now I know you must not have gone to HS. Our ancestors as illegal aliens stole this land from native Americans. How does that make it right. Natives were murdered and shoved to little plots of land stupid!!
982715924372324353	water	7.0	0.0	7.0	1.0	0.0	ICE raids Tennessee slaughterhouse in biggest shutdown yet and Trump admin is not playing games  #MAGA #DeportALLIllegals
1090373330907983872	domain-agnostic	5.0	5.0	10.0	0.5	0.5	  Then why did this guy shutdown the Immigration Courts for 35 days? Thousands of deportation cases are being continued for years. Stop saying you wanna enforce immigration laws and then the Immigration Courts close. There is no crisis except for the one Don the Con man creates. 
1016964247321038848	war	5.0	1.0	6.0	0.8333333333333334	0.1666666666666666	ICE Agent Allegedly Taunts Detained Migrant After Taking Away Her Daughter: 'Happy Mother's Day' | pluralist 
1111385719803510784	pressure	3.0	5.0	8.0	0.375	0.625	  Thinking if we drop the UN which does nothing but charges WE could then have them shipped to Europe instead of allowing them in. Lol while fixing our immigration
1159076171792826368	animal	0.0	12.0	12.0	0.0	1.0	 When the 30 million illegals in the US say reconciliation is too late, the foxes have taken control of the chicken coup...
1140703609077850112	water	9.0	0.0	9.0	1.0	0.0	 One caveat: When you are excommunicated from the United States, you would be required to take 100 illegal immigrants with you.
1107038566985728000	domain-agnostic	3.0	6.0	9.0	0.3333333333333333	0.6666666666666666	    #POTUS has the constitutional power to protect us from foreign invaders.  By the time you have millions of illegal aliens voting in our presidential elections, to which some states have already begun giving out drivers license to, that’s when you have a bigger problems.
1202588828957126656	parasite	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	  No AuntCrabby She is very qualified in China she has concentration style shops for women! Exploits them Treats them like shit no benefits horrible working conditions! Maybe she thinks she can bring that concept to USA and Use undocumented People #StrangerThingsDay #FBRParty 
1066838669645017089	water	2.0	3.0	5.0	0.4	0.6	"Trump is ""controlling"" immigration so well that we have them all in prisons....his billionaire colleagues making money off prisons!  We are not ""saving money"" like Trump said, but now lots of money being poured into all these migrant camps!!!!"
1054860560762695681	domain-agnostic	3.0	4.0	7.0	0.4285714285714285	0.5714285714285714	CNN’s Bill Weir tries smacking Tomi Lahren over migrant caravan, proves he’s just ‘another white liberal racist’  via 
976118283337281537	domain-agnostic	7.0	1.0	8.0	0.875	0.125	 Also, if they get to blame Millenials for not having babies, then I get to blame Republicans for not opening immigration for workers from high birth-rate nations.
1009863114915971072	parasite	0.0	7.0	7.0	0.0	1.0	  Those look like illegals that have come into this country, actively draining tax payers dollars. I'm struggling to understand the point of this picture... did you think this was brilliant?
1080864575300329472	domain-agnostic	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444	 That's not true. Having a mass of concrete is not a substitution for a coherent immigration and national security policy. Walls can be tunneled under, the problem is constantly thinking in terms of deterrent for non-existent crimes, while not addressing pull factors.
1069970055662837761	war	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	Yes, it happens fast. And they know they intimidate Americans. You would think the Dems would have some concern about the illegals, and legal immigrants, running blacks out of their own neighborhoods. But, Dems are vote whores.
1112007437291274241	domain-agnostic	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	What's it going to take for an investigation into how these human beings are being treated? ...  f7-year-old Guatemalan migrant died of sepsis while in US custody 
1033944325476904960	parasite	8.0	0.0	8.0	1.0	0.0	 Trump will be like a 3 years old immigrant in front of a judge!
1025773243721043968	water	2.0	6.0	8.0	0.25	0.75	  Yes we care about fiscal issues, we have to work to support ourselves and half the country.  You should be making it easier to support you instead of harder! Millions of illegals will drain our country including your bank account.
1151851063726637057	domain-agnostic	3.0	3.0	6.0	0.5	0.5	This is absolutely right! Illegals hurt everyone while legal immigrants help everyone! 
1023678808363343872	commodity	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	'Like I am trash': Migrant children reveal stories of detention, separation.   The deadline for reunifying thousands of child with their parents passed on Thursday. By:     via 
1161443849677488131	vermin	3.0	2.0	5.0	0.6	0.4	"  It's incredibly intelligent action. 75 to 90% of ALL ""hispanic"" ILLEGAL ALIENS are illiterate in their own language. They have NO skills. They bring ZERO contribution to our nation. You idiot leftists want THAT life, move to Mexico, Central or South America. Don't force it on me"
1111666418133712896	water	0.0	7.0	7.0	0.0	1.0	Mo Brooks: Illegal Alien-Flooded States Diluting Votes of Middle America  via 
1079126671762968576	war	5.0	1.0	6.0	0.8333333333333334	0.1666666666666666	"  Still waiting for Congress to realize that the ""Drug Warrior"" Jeff Sessions-types are the ones who have caused a significant amount of this mass migration to the USA.  So, technically, Reagan/Bush are responsible for today's problems, too."
1120768121567158272	war	7.0	1.0	8.0	0.875	0.125	  Lmao—sounds like youre talking about your own party. I mean you fools support communism, open borders, and identity politics. Only sheep, illegal immigrants, and self loathing liberals support the .
1149840133186838528	animal	2.0	5.0	7.0	0.2857142857142857	0.7142857142857143	"      You're not listening.   It's called ""the pork"". Do you know what pork the Dems added to the $25 bill to get as much of what they want, which is inevitably horrible for U.S. citizens but ideal for undocumenteds and anchor babies? Until you know that you are not saying much."
1009627799387299844	pressure	2.0	4.0	6.0	0.3333333333333333	0.6666666666666666	    See here is the problem. The Democrats have encouraged so many immigrants to come here illegally that the system is overwhelmed right now. There is a bill going tomorrow to double the immigration judges which would speed things up.
1158400977357066246	animal	1.0	11.0	12.0	0.0833333333333333	0.9166666666666666	  No. He says something, they twist it and label it as a racist.  ▪️He says MS 13 gang members are “animals”. The media reports Trump called all immigrants animals ▪️He limits migration from the 7 countries listed by Obama’s DHS as sponsors of terrorism. Media calls it a Muslim ban
1205257606710878209	animal	1.0	4.0	5.0	0.2	0.8	         I have proposed this question twice to our government. What will be done for the immigrant children in cages for Christmas Day.  You all have children. Have a little heart.
1152275626683961344	animal	8.0	1.0	9.0	0.8888888888888888	0.1111111111111111	  You're conveniently forgetting the elusive FACTS surrounding her migration to America possibly committing IMMIGRATION FRAUD which is being INVESTIGATED as I write this. If the lady did indeed MARRY her brother, she needs to be SENT BACK, indeed and QUICKLY!!
1009497821236645889	pressure	5.0	3.0	8.0	0.625	0.375	Wednesday June 20 - The Rachel Maddow Show:   Trump cruel to migrant kids to drive immigration political wedge;   Allegations of corruption plaguing Trump's cabinet;  Lawsuit over family splitting policy has Trump playing word games  Via     
1053755361650388992	commodity	6.0	2.0	8.0	0.75	0.25	Trump likes to use immigration as a tool to  strike fear into  his base supporters. Trump praises Gianforte for body slamming a reporter to feed the bases frenzy. Trump calls all women beautiful trying to butter them up to vote republican.
1076216429173723137	animal	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	Eye to eye with the man made bird #mobilephotography #lategram #airport #emirates  #dubai  #airplane #airbus #travelblogger #carrier #lineup #travelphotography #motion #migration #silhouette #airportlife #airport #london #travel #traveller #instagood #instatravel #bird #take…
1020726257858723841	war	7.0	0.0	7.0	1.0	0.0	 Elections no longer the heart.  As long as illegals and dead vote for libs the elections are tainted.  FK adam shit, fking moron.
1113188372502028288	pressure	5.0	4.0	9.0	0.5555555555555556	0.4444444444444444	Why would the Democrats want to cap the number of beds for their beloved illegals...?  
1164722510711029761	war	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	 Well I woke up!!! You keep sleeping n see where it gets you!! U'll have Shit n Piss on ur front door,  homeless people attacking you!! Working to support them n illegal immigrants, instead of ur own family ... travel to San Francisco, Seattle, LA .. LOOK!!! 
1210441422534586368	vermin	3.0	5.0	8.0	0.375	0.625	   Each time the President tries to do something the DemocRATS take it to court...they are still in court! The DemocRATS are giving illegals license to drive, sanctuary cities in the cities run by DemocRATS! Who do the DemocRATS represent??? It sure isn't Americans!
980175738094735360	parasite	0.0	9.0	9.0	0.0	1.0	   I'm so sad to tell you they wouldn't let you in anyway. Immigrant from a shithole country. No formal education, marketable skills. Probably just want to leech off taxpayers money . You understand.  They say we're a Christian Country. That stuff doesn't go over well
1058749678819266560	domain-agnostic	8.0	0.0	8.0	1.0	0.0	 She’s great-against high taxes and CA stupid gas tax.  First generation to the US, an immigrant.  Proud American.
1058368357848748032	animal	11.0	1.0	12.0	0.9166666666666666	0.0833333333333333	 If by “fake crisis” U mean this particular “caravan” is an immediate crisis, I agree. But it is a crisis. It’s testing our resolve. A long term crisis that no 1 wants to deal with. How do we know? Depending on the  sources there are currently 11M to 22M illegal immigrants (MIT).
1102920895860039680	parasite	2.0	5.0	7.0	0.2857142857142857	0.7142857142857143	 We are facing invasions, cannot you see this? What about illegals living the American dream don't you understand.  They are living off our tax dollars,  then voting Democrat  
1089316501381922816	parasite	6.0	4.0	10.0	0.6	0.4	Flesh-eating bacteria arrive with new group of migrants at border crossing in New Mexico 
1172336063748030465	domain-agnostic	5.0	5.0	10.0	0.5	0.5	  “Traitors” - that’s rich considering the WHOLE democrat field is: Pro Illegal Aliens, Pro-Socialist-Communist, Pro wiping college debt (for a segment of the population) &amp; Anti-EQUAL (non-racial) Opportunity. ALL of the Dems are The Traitors to this Country.
1108350293589164033	water	5.0	3.0	8.0	0.625	0.375	Alarm over leaked US database targeting journalists and immigration activists - 
1126224295359852544	parasite	9.0	0.0	9.0	1.0	0.0	  ILLEGAL Undocumented Workers Allege Years of UNPAID EXPLOITATION at Trump Golf Courses.   via  Reporting by  
1080306114238005248	pressure	2.0	3.0	5.0	0.4	0.6	 Every day America doesn’t have a wall puts American citizens at risk of being a crime victim by an illegal alien. The rapes, assaults, &amp; murders must be stopped NOW! #BuildTheWall #MAGA #America 🇺🇸🦅
1065904990294876161	war	5.0	2.0	7.0	0.7142857142857143	0.2857142857142857	Ann Coulter DROPS A Truth Bomb About The Migrant Caravan - Calls It A Po...  via 
1059083493840510976	animal	6.0	1.0	7.0	0.8571428571428571	0.1428571428571428	 Soros needs to be made to pay the government,  state and federal for all the money they have spent supporting the illegals he help come in illegally
1008488660386267136	commodity	1.0	6.0	7.0	0.1428571428571428	0.8571428571428571	N.Y. Assembly passes fake single-payer universal health care legislation Just who is this ‘single’ payer? Answer: ALL the working serfs who will be taxed to pay for all the idlers, illegals etc.  
