Capacity and Resources	Crime and Punishment	Cultural Identity	Economic	Episodic	External Regulation and Reputation	Fairness and Equality	Health and Safety	Hero	Hero: Cultural Diversity	Hero: Integration	Hero: Worker	Legality, Constitutionality, Jurisdiction	Morality and Ethics	Policy Prescription and Evaluation	Political Factors and Implications	Public Sentiment	Quality of Life	Security and Defense	Thematic	Threat	Threat: Fiscal	Threat: Jobs	Threat: National Cohesion	Threat: Public Order	Victim	Victim: Discrimination	Victim: Global Economy	Victim: Humanitarian	Victim: War	country	date	has_hashtag	has_mention	has_url	id_str	ideology	is_quote_status	is_reply	is_verified	log_chars	log_favorites	log_followers	log_following	log_retweets	log_statuses	month	year	text
0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	US	10	0	0	1	1072102937252519936	-0.8330805118311032	0	0	0	5.081404364984463	0.6931471805599453	7.710205194432532	7.727094484779841	0.0	10.903733328903735	12	2018	Trump wants to turn away the most vulnerable immigrants - but we can stop him if we act by Dec. 10. I just took action. Will you join me? 
0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	US	28	0	1	1	1034306096763027456	-0.8618472577912889	0	1	0	5.655991810819852	1.0986122886681098	8.463370384718731	8.555836815008442	0.6931471805599453	10.735178542544132	8	2018	 Not a word nor tweet about another mass shooting by a white American born killer.Had the killer been a poc or Muslim, rest assured he would have both tweeted &amp; spoken out. The other day 1 person killed by an immigrant his words were many. This time 14 wounded 3 dead,silent
0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	US	27	0	1	1	1000818175523639297	3.217636903687536	0	1	0	5.153291594497779	0.0	6.966024187106113	6.480044561926653	0.0	10.734460018752944	5	2018	   No, you get a clue. Then, why does Mexico, Guatemala, El Salvador etc have borders and immigration laws. We are a sovereign country.
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	US	21	0	1	1	1087220802255273984	3.001886308986144	0	1	0	5.68697535633982	0.0	7.959275960116396	8.199189359078067	0.0	8.978660489639687	1	2019	    Yeah good luck with that. Pretty sure if the Pope can’t be bothered to clean up the rampant sexual assault scandals throughout the world pretty sure he’s not doing diddly with your protest about a priest you don’t agree with on immigration.
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	21	0	1	1	1009889562963861504	-0.437537754878551	0	1	0	5.342334251964811	0.0	2.079441541679836	4.276666119016055	0.0	7.044905117129371	6	2018	 For the past 3 years the GOP has controlled BOTH the House and Senate and NOTHING on immigration, healthcare, gun violence was done... NOTHING! Time for a CHANGE! Vote  in 2018!! 
0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	US	2	0	1	1	1058463868052103169	1.8781852949163929	0	1	0	5.529429087511423	0.0	4.584967478670572	5.030437921392435	0.0	7.360103972989152	11	2018	 I’m done being attacked. I’ve been absolutely ravaged this morning for simply wanting to give people the benefit of the doubt. I didn’t want to get into an immigration battle. It needs to be fixed yes. Agreed. Those teachers aren’t racist. Done.
0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	US	27	1	0	1	1067247346289913857	2.4463285276300586	0	0	0	4.962844630259907	0.0	6.680854678790215	6.194405391104672	0.0	9.726631035173233	11	2018	Brandon is so on target here...you must watch his rant about the #migrantcaravan invasion and the price we are paying.  
0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	US	10	0	1	1	1083475143672754176	-0.5669881116993862	0	1	0	5.429345628954441	1.0986122886681098	5.017279836814924	6.57507584059962	0.0	8.62515033292133	1	2019	  Some people have a hard time understanding that there are legal immigrants from Mexico, People who come to the US through the proper channels and become citizens, and just assume ANYONE from Mexico is an Illegal.
0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	US	20	0	1	1	1141516759192748032	2.5290329222655923	0	1	0	5.3706380281276624	0.6931471805599453	6.530877627725885	5.978885764901122	0.0	9.956459437302234	6	2019	   No!!!  America gives aid to these countries!!!!   Try reading instead of watching Fake News!  These illegal aliens are being paid by Soros and Libnut groups to come here on buses!!!!
0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US	26	0	1	0	1033645639014514688	-1.2034523660684937	0	1	0	4.672828834461906	0.0	6.740519359606223	6.852242569051878	0.0	9.552510629712032	8	2018	  Aren't you an immigrant too?  Or are you only referring to non white immigrants?
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	US	25	0	1	1	1077650881573572608	-1.3958299796772349	0	0	0	4.804021044733257	0.0	6.56244409369372	4.852030263919617	0.0	9.670924779305428	12	2018	When will this stop! Guatemalan boy, 8, dies in immigration custody of unknown causes  via 
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	US	18	1	0	1	1086351523964018688	2.2305779329286666	1	0	0	5.262690188904886	1.0986122886681098	5.3612921657094255	5.683579767338681	0.6931471805599453	8.465478755729558	1	2019	Border Patrol officials:    Since start of FY in the #Lordsburg area of #NewMexico  at least 24 large groups of immigrants have been trafficked by smugglers   #NMDEMS #nmpol #nmleg
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	US	16	1	1	1	1106838769641185280	1.1428353513091472	0	1	0	5.117993812416755	0.6931471805599453	4.74493212836325	3.58351893845611	0.0	7.222566018822171	3	2019	 Tell that to #Trump and modern America that seems to think #migration will crush western society and no one else deserves a better life...Totally agree 
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	US	6	0	1	1	1059613351435595776	0.0712740642922324	0	1	0	5.666426688112432	0.6931471805599453	8.275121630216509	8.185350223178686	0.0	8.146419323098003	11	2018	" Well if it's not ""racist"" because illegal aliens are not a race and it's not jingoistic because...well I'm not sure you didn't really say why, then what would you call it?   I know I would call it a political bullshit sandwich w/ a side of lies, but to each their own I guess."
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	US	10	0	1	1	1083207737079750658	-0.7917283145133365	1	0	0	5.634789603169249	0.0	6.419994928147142	6.626717749249025	0.0	9.56836440548421	1	2019	Not true . I'm not a Dem, but they r right on this. A wall is NOT the answer. Those of us who know the wall is stupid, doesn't mean we don't care about security. We just think there r better ways. Almost all statements Trump has made re: the immigration has been lies
0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	US	16	0	1	1	1074414166105120771	-1.3059338985516546	0	1	0	5.204006687076795	1.0986122886681098	8.028455164114252	6.963189985870238	0.0	12.502474093500576	12	2018	 Bush 2. Lobbies. NRA. Dark money. Tea party. Religion. Fear of terrorists. Too many immigrants. Gays treated as equals. Women daring to be equals. Too many rich. Etc
0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0	US	25	0	1	1	1055507437791444992	-0.3476416737529708	0	1	0	5.365976015021851	0.6931471805599453	7.952615111651	8.517593111437565	0.0	9.21602418844448	10	2018	 Migrants marching in caravan can be helped in way that shows our humanity and preserves our safety rather than being attacked by our military or split up into detainment centers that enrich GOP lobbyists
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	US	21	0	0	1	1053945305320841217	0.5459253726352954	0	0	1	4.919980925828125	0.0	11.669664221407558	8.077136638538454	0.0	12.786104318059223	10	2018	'There's no turning back': Migrant caravan stuck on Mexico border vows not to be deterred  
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	US	23	0	1	1	1010536296928997376	1.730755721870441	1	1	0	4.68213122712422	0.0	3.4657359027997265	4.934473933130692	0.0	6.240275845170769	6	2018	 ...crimes against humanity- sanctuary cities, illegal immigration, and: 
0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	9	0	0	1	1171032974449463297	-0.4914754035538989	0	0	0	5.087596335232384	1.0986122886681098	8.37816098272068	8.51699317141357	0.0	9.93870989824589	9	2019	Immigrants founded 51% of US billion dollar startups:  India 🇮🇳 14 Canada 🇨🇦 8 UK 🇬🇧 8  Israel 🇮🇱 7 Germany 🇩🇪 4 France 🇫🇷 2 Ireland 🇮🇪 2  
0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US	27	0	1	1	1132815678917009408	1.8835790597839277	0	1	0	5.241747015059643	0.0	2.19722457733622	4.276666119016055	0.0	6.836259277277067	5	2019	 Of course she brings up the ILLEGALS because she is incapable of logical thought. Illegals are a completely different subject matter. Omar you need to go back to your homeland.
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US	19	0	1	0	1152224786694758400	2.9731195630259584	0	1	0	4.189654742026425	0.0	7.05444965813294	6.846943139585379	0.0	9.824227871550496	7	2019	"  You mean ""Detention Centers for Illegals""?"
0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	US	17	0	1	1	1052698233477234688	2.5973539439210334	1	0	0	5.420534999272286	1.6094379124341005	8.288785810426928	8.395929103923198	1.3862943611198906	10.31088412749404	10	2018	  boom there is the deficit balancing number right there! You’d rather fund illegals, this hits a poor state disproportionately hard! Vote    
0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US	16	0	1	1	1184336058944610304	2.383401270842153	0	1	0	5.117993812416755	0.6931471805599453	4.343805421853684	4.418840607796598	0.0	8.107720061910534	10	2019	 Hey Mr. Attorney General....why must sheriffs obey THIS law, but it's apparently just fine for them to ignore immigration laws in sanctuary cities?......
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US	2	0	1	0	1025072997936386048	3.0126738387212133	0	1	0	4.204692619390966	0.0	6.827629234502852	7.039660349862076	0.0	6.51025834052315	8	2018	  Hasn't she heard them called illegals? Lol
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	US	6	1	0	1	1103311396027228160	2.78433779266224	0	0	0	5.288267030694535	1.3862943611198906	12.429248196332397	12.4372716642703	0.0	11.407075940878377	3	2019	#StateOfEmergency #BuildTheWall #BorderCrisis Illegal Alien Repeatedly Molested Girl For Years, Beginning When She Was 10-Years-Old – United States Illegal Alien Crime Report 
0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	US	22	0	0	1	1054496776596660225	3.010875917098702	1	0	0	5.616771097666572	0.0	9.359449794564023	9.446755465483632	0.0	9.162619635764772	10	2018	".🙄  Can we all please remember that the pope lives behind a BIG. BAD. WALL. ???  AND that Vatican City has yet 2provide shelter for ANY ""migrants""  HEY Pope Francis! 👉This is OUR country! 👉We didn't ask you! 👉Practice what you preach! 👉Take down your wall and build a bridge!"
0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	12	0	1	1	1084173583373324289	0.6160443159132479	0	1	0	5.529429087511423	0.0	3.1780538303479458	5.783825182329737	0.0	7.352441100243583	1	2019	  All four match the Democratic Party. The incompetence shown by the Democrats and Republicans to get some legislation for immigration is deplorable.President Trump will force you guys to do your job. America is watching you!
0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	US	15	0	1	1	1173260166210478080	2.031008632829878	0	1	0	5.2832037287379885	1.3862943611198906	7.373374309910049	7.563719668414366	0.0	9.10286651367095	9	2019	   Letting criminals and illegals run free and the NM Democratic Party of embezzlers, pedophiles, racists, and pathological liars running New Mexico into the ground.  Got it?
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	0	0	US	10	0	1	1	1050125549341798400	2.324069857299269	0	1	0	5.755742213586912	0.0	4.990432586778736	6.068425588244111	0.0	9.705768053562077	10	2018	   BTW Division and demonizing of fellow citizens is being done by Democrats since Trump decided to run. (Remember the adjectives: Deplorables, Fascists,  Supermacists)  Democrats have demonstrated that they want open borders, support illegal immigration and they want socialism
0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	3	0	0	0	1146499671604396032	-1.5270782581205815	0	0	0	4.5217885770490405	0.0	6.961296045910167	7.252053951852814	0.0	10.055435808808186	7	2019	Selling health insurance to immigrants is a fine capitalist concept! 
0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	4	0	0	1	1169283769733398529	-0.4105689305408769	0	0	0	5.707110264748875	0.0	6.744059186311348	6.912742820493176	0.0	7.520234556474628	9	2019	African immigrants spend more than half a billion dollars creating jobs for Minnesotans, work in critical sectors like health care and own a wide range of growing businesses. Summit tomorrow celebrates this strong MN contribution. Data can be found here  
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	US	17	0	0	1	1063630776204435457	2.338453230279362	0	0	0	5.717027701406222	0.6931471805599453	7.720017940432244	8.25582842728183	0.6931471805599453	9.801233318497372	11	2018	How many seats did the Democrats win in the House?  How many seats did the Democrats win in the Senate? How many Ballots were LEGAL ?  How many BALLOTS had names of dead people and names of non citizens or illegal immigrants ? How many seats did they actually win in both houses ? 
0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	US	1	0	1	1	1024455053665558542	-1.187271071465889	0	1	0	5.652489180268651	1.0986122886681098	7.277938572945661	7.239932591320469	0.0	9.03634406392822	8	2018	 🤬🤬🤬🤬🤬😭😭 “Before they were separated at the southwest border, Ana Carolina Fernandes’s 5-year-old son loved playing with the yellow, impish Minion characters from the “Despicable Me” movies. Now his favorite game is patting down and shackling “migrants” with plastic cuffs.”
0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	US	11	0	1	1	1094773899462610944	3.316522592925674	0	1	0	5.10594547390058	0.0	6.498282149476434	7.307202314764738	0.0	9.939240722241946	2	2019	     You mean illegal aliens who’ve broken our laws? Remember the Taco Bowl comments? Hmmm who said that?
0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	US	10	0	1	1	1126995490720092161	0.0568906913121395	0	1	0	5.68697535633982	1.0986122886681098	4.51085950651685	3.9889840465642745	0.0	8.519789817263504	5	2019	"  "" we as a country enjoy the freedom and security of raising our children in the greatest country in the world, the United States of America........which I arrived in using falsified documents and brought my parents here through chain migration which my husband wants to end."""
0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	US	24	0	0	1	1010977710108053505	-1.2951463688165852	0	0	0	5.673323267171493	0.6931471805599453	7.981049759665957	7.938445551164788	0.0	10.615996086574691	6	2018	1st: It’s the ones who came here illegally &amp; THEIR KIDS. 2nd: It’s the asylum seekers who’re just “gaming the system” &amp; THEIR KIDS. 3rd: it’s the already naturalized citizens who “gamed the system” to get in &amp; THEIR KIDS. 4th: It’s ALL immigrants &amp; THEIR KIDS.  See the plan?
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	US	19	0	1	1	1064631921748000768	-0.1786370412368803	0	1	0	5.099866427824199	0.0	4.30406509320417	5.187385805840755	0.0	7.6787889981991535	11	2018	 Wait. Wait. Wait. You mean,  used political stunt designed to anger his rabid base by stoking anti-immigrant sentiment? Get out of here...
0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	US	20	0	1	1	1020369153985740800	2.6836541818015904	0	1	0	5.3471075307174685	0.0	8.82776136765472	8.865876285425417	0.0	10.22918769217543	7	2018	 “Minnesota is known for its kindness, but past administrations have put us at risk. Refugees and illegal immigrants have poured into our state at a cost of $100,000+ PER IMMIGRANT.” 
0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	US	23	0	1	1	1099196072046428162	-0.9823080064995664	0	1	0	5.655991810819852	0.0	4.0943445622221	6.315358001522335	0.0	7.564238475170491	2	2019	 Exactly what I tell people,  we no longer take risks. If things seem too hard we no longer roll up the sleeves and pound through it.  Immigration,  election reform, climate change, combating hate groups, equal rights. This Congress and dickhead president fail at every turn.
0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	US	19	0	0	1	1097947460427751424	-0.7000343117652448	0	0	0	5.3612921657094255	0.6931471805599453	7.145196134997171	7.168579897264035	0.0	10.21844426712279	2	2019	Drugs do not arrive in the US through a triathlon competition of Central American migrants carrying backpacks, breaststroking across the Rio Grand, and hiking across the mountains.  #FakeEmergency #TuesdayThoughts
0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	US	16	0	0	1	1052310214643539970	-1.1027687552078438	0	0	0	4.584967478670572	0.0	7.3914152346753585	7.334329350300536	0.6931471805599453	8.989444293202451	10	2018	'Yes, we can': caravan of 1,600 Honduran migrants crosses Guatemala border 
0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	US	15	0	0	1	1096232761449431041	2.608141473656103	0	0	0	5.726847747587197	0.0	3.9318256327243257	4.663439094112067	0.0	9.438988743924838	2	2019	"Demetrius Nathaniel Pitts, 49 Man whoAllegedlyPlanned ClevelandTerrorAttack indicted for threatening to kill Trump&amp;Tamily.But  says Fake Crisis. need VOTES..""Let the Illegal Immigrants In""      "
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	US	8	0	0	1	1038471577510146048	-0.6820550955401287	0	0	0	5.111987788356544	0.0	1.791759469228055	4.07753744390572	0.0	10.097078701588314	9	2018	unauthorized border crossings  Immigration Law?  Who authorizes border crossings?  Laws are restrictions.........or behavioral boundaries......  Who owns the borders?
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	US	24	1	0	1	1010923360728084480	-1.796766501497322	0	0	0	5.111987788356544	0.6931471805599453	9.491073355339758	8.474911799159631	0.6931471805599453	12.23166241652917	6	2018	#TrumpHitler stokes fears of immigrants with attack on ‘these people invading our Country’ in nasty series of tweets #ImpeachTrumpANDPenceNow  
0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	US	12	1	0	1	1160861075908235265	-1.0722040876251462	0	0	0	4.955827057601261	0.0	8.723394022000136	8.54772239645106	0.0	12.51039057163338	8	2019	I Am an Immigrant: Fashion's Biggest Names Issue a United Statement to #DonaldTrump  #Resist #NoMuslimban #immigrantion
0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	US	27	0	1	1	1210705571017396224	0.0353156318420003	0	1	0	5.62040086571715	0.0	5.739792912179234	6.09807428216624	0.0	9.897670667214562	12	2019	  The average American has to work many more jobs than before, you are correct. But I’m not sure that is a good thing. Americans fear immigration and trade because they see the  barrier to middle class status is higher. That’s not a position of confidence
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	US	6	0	1	1	1059601219856093185	2.949746581933307	0	1	0	5.198497031265826	0.6931471805599453	7.025538314638521	7.237059026124737	0.0	9.835797403566175	11	2018	 Lol scott thinks people will ignore the glaring fact that  supports illegals over citizens, socialism, and worries more about the color of your skin than your character.
